country,year,R,isolates,source,AMR,IncomeGroup
1,2014,0.78,431,Others,CRAB,High-income
1,2014,0,1588,Others,CREC,High-income
1,2014,0.14,1588,Others,3GCREC,High-income
1,2014,0.09,1298,Others,CRKP,High-income
1,2014,0.5,1298,Others,3GCRKP,High-income
1,2014,0.25,457,Others,CRPA,High-income
1,2015,0.87,523,Others,CRAB,Low-income
1,2015,0.01,2170,Others,CREC,Low-income
1,2015,0.17,2170,Others,3GCREC,Low-income
1,2015,0.14,1903,Others,CRKP,Low-income
1,2015,0.52,1903,Others,3GCRKP,Low-income
1,2015,0.55,615,Others,CRPA,Low-income
1,2016,0.82,287,Others,CRAB,Low-income
1,2016,0.01,1729,Others,CREC,Low-income
1,2016,0.22,1169,Others,3GCREC,Low-income
1,2016,0.16,1278,Others,CRKP,Low-income
1,2016,0.58,895,Others,3GCRKP,Low-income
1,2016,0.33,418,Others,CRPA,Low-income
1,2017,0.83,320,Others,CRAB,High-income
1,2017,0,1845,Others,CREC,High-income
1,2017,0.21,1391,Others,3GCREC,High-income
1,2017,0.2,1357,Others,CRKP,High-income
1,2017,0.58,1081,Others,3GCRKP,High-income
1,2017,0.29,494,Others,CRPA,High-income
1,2018,0.76,375,GLASS,CRAB,Low-income
1,2018,0.01,2111,GLASS,CREC,Low-income
1,2018,0.2,1471,GLASS,3GCREC,Low-income
1,2018,0.21,1525,GLASS,CRKP,Low-income
1,2018,0.56,1508,GLASS,3GCRKP,Low-income
1,2019,0.69,292,GLASS,CRAB,Low-income
1,2019,0.01,1705,GLASS,CREC,Low-income
1,2019,0.18,1669,GLASS,3GCREC,Low-income
1,2019,0.19,1167,GLASS,CRKP,Low-income
1,2019,0.56,1142,GLASS,3GCRKP,Low-income
1,2020,0.83,640,GLASS,CRAB,Low-income
1,2020,0,1929,GLASS,CREC,Low-income
1,2020,0.2,1884,GLASS,3GCREC,Low-income
1,2020,0.26,1764,GLASS,CRKP,Low-income
1,2020,0.59,1618,GLASS,3GCRKP,Low-income
2,2013,0,2958,Others,CREC,High-income
2,2013,0.08,2958,Others,3GCREC,High-income
2,2013,0.01,727,Others,CRKP,High-income
2,2013,0.06,727,Others,3GCRKP,High-income
2,2014,0,3493,Others,CREC,High-income
2,2014,0.09,3493,Others,3GCREC,High-income
2,2014,0.01,877,Others,CRKP,High-income
2,2014,0.08,877,Others,3GCRKP,High-income
2,2015,0,3993,Others,CREC,High-income
2,2015,0.11,3994,Others,3GCREC,High-income
2,2015,0,974,Others,CRKP,High-income
2,2015,0.06,974,Others,3GCRKP,High-income
2,2015,0.08,649,Others,CRPA,High-income
2,2016,0.05,63,Others,CRAB,High-income
2,2016,0,4353,Others,CREC,High-income
2,2016,0.11,4353,Others,3GCREC,High-income
2,2016,0.01,995,Others,CRKP,High-income
2,2016,0.09,997,Others,3GCRKP,High-income
2,2016,0.08,686,Others,CRPA,High-income
2,2017,0.05,63,Others,CRAB,High-income
2,2017,0,4353,Others,CREC,High-income
2,2017,0.11,4355,Others,3GCREC,High-income
2,2017,0.01,995,Others,CRKP,High-income
2,2017,0.09,997,Others,3GCRKP,High-income
2,2017,0.08,686,Others,CRPA,High-income
2,2019,0.03,98,GLASS,CRAB,High-income
2,2019,0,615,GLASS,CREC,High-income
2,2019,0.13,4885,GLASS,3GCREC,High-income
2,2019,0.01,1140,GLASS,CRKP,High-income
2,2019,0.1,1140,GLASS,3GCRKP,High-income
2,2020,0.01,98,GLASS,CRAB,High-income
2,2020,0,4865,GLASS,CREC,High-income
2,2020,0.13,4865,GLASS,3GCREC,High-income
2,2020,0,1140,GLASS,CRKP,High-income
2,2020,0.09,1141,GLASS,3GCRKP,High-income
3,2001,0,33,EARS-Net,CREC,High-income
3,2001,0,257,EARS-Net,3GCREC,High-income
3,2002,0,234,EARS-Net,CREC,High-income
3,2002,0.012578616,477,EARS-Net,3GCREC,High-income
3,2003,0.001508296,663,EARS-Net,CREC,High-income
3,2003,0.018423746,977,EARS-Net,3GCREC,High-income
3,2004,0.002380952,1260,EARS-Net,CREC,High-income
3,2004,0.025323276,1856,EARS-Net,3GCREC,High-income
3,2005,0.002108222,1423,EARS-Net,CREC,High-income
3,2005,0.042033236,2046,EARS-Net,3GCREC,High-income
3,2005,0,80,EARS-Net,CRKP,High-income
3,2005,0.056818182,88,EARS-Net,3GCRKP,High-income
3,2005,0.103896104,77,EARS-Net,CRPA,High-income
3,2006,0.002839296,1761,EARS-Net,CREC,High-income
3,2006,0.065965196,2471,EARS-Net,3GCREC,High-income
3,2006,0,269,EARS-Net,CRKP,High-income
3,2006,0.060324826,431,EARS-Net,3GCRKP,High-income
3,2006,0.14861461,397,EARS-Net,CRPA,High-income
3,2007,0.001938924,2063,EARS-Net,CREC,High-income
3,2007,0.088712871,2525,EARS-Net,3GCREC,High-income
3,2007,0,306,EARS-Net,CRKP,High-income
3,2007,0.081818182,440,EARS-Net,3GCRKP,High-income
3,2007,0.115196078,408,EARS-Net,CRPA,High-income
3,2008,0.00166044,2409,EARS-Net,CREC,High-income
3,2008,0.074123989,2968,EARS-Net,3GCREC,High-income
3,2008,0,397,EARS-Net,CRKP,High-income
3,2008,0.079447323,579,EARS-Net,3GCRKP,High-income
3,2008,0.108481262,507,EARS-Net,CRPA,High-income
3,2009,0.001425178,2105,EARS-Net,CREC,High-income
3,2009,0.075471698,2597,EARS-Net,3GCREC,High-income
3,2009,0,463,EARS-Net,CRKP,High-income
3,2009,0.076422764,615,EARS-Net,3GCRKP,High-income
3,2009,0.087719298,513,EARS-Net,CRPA,High-income
3,2010,0.00040568,2465,EARS-Net,CREC,High-income
3,2010,0.072553046,2922,EARS-Net,3GCREC,High-income
3,2010,0.00589391,509,EARS-Net,CRKP,High-income
3,2010,0.126388889,720,EARS-Net,3GCRKP,High-income
3,2010,0.143763214,473,EARS-Net,CRPA,High-income
3,2011,0.000368732,2712,EARS-Net,CREC,High-income
3,2011,0.091455696,3160,EARS-Net,3GCREC,High-income
3,2011,0.001639344,610,EARS-Net,CRKP,High-income
3,2011,0.133333333,795,EARS-Net,3GCRKP,High-income
3,2011,0.135687732,538,EARS-Net,CRPA,High-income
3,2012,0.000598802,3340,EARS-Net,CREC,High-income
3,2012,0.086522911,3710,EARS-Net,3GCREC,High-income
3,2012,0.008130081,738,EARS-Net,CRKP,High-income
3,2012,0.11757858,859,EARS-Net,3GCRKP,High-income
3,2012,0.145907473,562,EARS-Net,CRPA,High-income
3,2013,0.078431373,51,EARS-Net,CRAB,High-income
3,2013,0.000234907,4257,EARS-Net,CREC,High-income
3,2013,0.098491773,4376,EARS-Net,3GCREC,High-income
3,2013,0.012087912,910,EARS-Net,CRKP,High-income
3,2013,0.107332625,941,EARS-Net,3GCRKP,High-income
3,2013,0.123376623,616,EARS-Net,CRPA,High-income
3,2014,0.064102564,78,EARS-Net,CRAB,High-income
3,2014,0.000217391,4600,EARS-Net,CREC,High-income
3,2014,0.093690652,4739,EARS-Net,3GCREC,High-income
3,2014,0.006179197,971,EARS-Net,CRKP,High-income
3,2014,0.082329317,996,EARS-Net,3GCRKP,High-income
3,2014,0.127358491,636,EARS-Net,CRPA,High-income
3,2015,0.09375,64,EARS-Net,CRAB,High-income
