country,year,IncomeGroup,TempChange,GM_PM25,sro_year,ssro_year,Urban,CHERate,OutPocketRate,CPI,lnPopDensity,lnTravel,WASHIndex,ImmIndex,AMC,J01A,J01B,J01C,J01D,J01E,J01F,J01G,J01M,SE.PRM.NENR,SE.SEC.NENR,AnimalmgKg,AnimalmgKg_adj,Aminoglycosides,Amphenicols,Cephalosporins,Lincosamides,Macrolides,Fluoroquinolones,Other quinolones,Penicillins,Pleuromutilins,Polypeptides,Sulfonamides,Tetracyclines,Others
1,1999,L,1.198,27.1,0.655977224,0.191861823,21.986,NA,NA,NA,1.470319704,NA,NA,30.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1999,LM,0.67,18.6,3.388449728,3.104494491,41.169,NA,NA,23,2.054839147,5.56937391,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.79354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1999,LM,1.476,29.6,0.014550567,0.002412783,59.118,NA,NA,NA,1.105208291,5.874481818,NA,86.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.62222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1999,UM,0.242,3.1,NA,NA,88.131,NA,NA,NA,2.459347246,4.612783857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1999,L,0.417,17.5,0.791278168,2.271664357,48.897,NA,NA,NA,1.104835573,4.653212514,NA,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1999,NA,0.532,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1999,UM,0.541,9.5,0,0,32.49,NA,NA,NA,2.224727247,5.748188027,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1999,UM,0.16,17.5,0.638325456,0.636203977,88.952,NA,NA,30,1.126884289,6.462098381,NA,91.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.16485,76.26566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1999,L,1.488,21.4,1.697155382,1.213168576,64.947,NA,NA,25,2.051580115,4.612783857,NA,93.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1999,H,0.58,5.5,0.239982624,0.341015641,84.37,NA,NA,87,0.388949802,6.649237472,NA,87.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.43508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1999,H,0.986,15.1,1.976236761,4.718889142,60.491,NA,NA,76,1.986113862,7.24221832,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.24,88.47397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1999,L,1.224,25.3,0.662862266,0.469820531,51.185,NA,NA,17,1.984620762,5.779596491,NA,75.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.1411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1999,H,0.619,8.5,0.018563042,0,81.824,NA,NA,NA,1.505084894,6.56205483,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.54622,70.7111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1999,L,0.78,43.9,3.133073136,8.592826061,23.202,NA,NA,NA,2.988453592,5.238046103,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.10087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1999,UM,0.466,11.7,0,0,34.152,NA,NA,NA,2.788415041,5.976349979,NA,86.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.1169,94.89956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1999,LM,1.506,18.7,0.080727066,1.618675968,69.482,NA,NA,34,1.694016771,NA,NA,98.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1999,H,NA,14.7,0.164129017,3.442016519,97.065,NA,NA,53,NA,6.804071249,NA,80.75,24.981138,NA,NA,NA,NA,NA,NA,NA,NA,98.89581,93.58057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1999,LM,0.422,15,1.393120074,2.113284586,45.582,NA,NA,NA,1.008732682,5.531478917,NA,87.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.74424,55.27524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1999,L,0.621,36.4,2.123064601,1.829387103,38.015,NA,NA,NA,1.779624449,5.973589623,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
