year,country,R_geomean_logit,GM_PM25,sro_year,ssro_year,TempChange,Urban,CPI,CHERate,OutPocketRate,lnPopDensity,lnTravel,WASHIndex,ImmIndex,AMC,IncomeGroup
1,4,NA,17.5,0.638325456,0.636203977,0.16,88.952,30,NA,NA,1.126884289,6.462098381,NA,91.2,NA,UM
1,19,NA,5.5,0.239982624,0.341015641,0.58,84.37,87,NA,NA,0.388949802,6.649237472,NA,87.75,NA,H
1,18,NA,15.1,1.976236761,4.718889142,0.986,60.491,76,NA,NA,1.986113862,7.24221832,NA,73,NA,H
1,25,NA,48.3,0,0,2.055,88.376,NA,NA,NA,2.988931208,6.515873844,NA,96,NA,UM
1,134,NA,43.9,3.133073136,8.592826061,0.78,23.202,NA,NA,NA,2.988453592,5.238046103,NA,81,NA,L
1,28,NA,18.7,0.080727066,1.618675968,1.506,69.482,34,NA,NA,1.694016771,NA,NA,98.75,NA,LM
1,33,NA,14.7,0.164129017,3.442016519,NA,97.065,53,NA,NA,NA,6.804071249,NA,80.75,24.981138,H
1,42,NA,14.6,15.19487343,8.444388728,1.022,24.383,NA,NA,NA,1.15674543,3.857332485,NA,86.5,NA,L
1,37,NA,27,1.98312295,3.340224678,0.612,42.069,NA,NA,NA,1.909093434,5.167317335,NA,90.5,NA,LM
1,27,NA,13.9,2.516591617,5.24542168,0.523,80.496,41,NA,NA,1.317155496,6.708165858,NA,97.75,NA,UM
1,201,NA,5.6,4.507623845,9.095978772,0.575,70.669,NA,NA,NA,1.792796899,5.985426474,NA,95.25,NA,H
1,30,NA,23.9,0.697012471,0.783700801,0.696,68.677,33,NA,NA,1.870503252,6.703807065,NA,97,15.107,LM
1,43,NA,35.2,0.353052682,0.045808401,0.548,17.166,NA,NA,NA,1.62484706,5.068185862,NA,35.75,NA,L
1,90,NA,13.5,2.652490839,4.970786315,0.409,18.47,NA,NA,NA,1.828716765,5.565847819,NA,64.75,NA,L
1,86,NA,3.9,0.455745898,1.935878523,1.694,79.103,92,NA,NA,0.53031308,7.69068328,NA,91.33333333,NA,H
1,227,NA,16,2.310253098,5.813705466,0.251,85.778,69,NA,NA,1.309869386,NA,NA,94.8,NA,UM
1,232,NA,22.7,1.225932078,1.739320034,1.229,34.865,34,NA,NA,2.125275491,7.862107516,NA,84.75,NA,LM
1,101,NA,20.1,1.111200457,2.225128468,0.676,53.198,27,NA,NA,1.906937058,7.465605891,NA,93.5,NA,UM
1,165,NA,18,0.138766344,0,1.079,68.527,NA,NA,NA,2.003557509,6.411282913,NA,93.66666667,NA,H
1,91,NA,19,0.207746351,1.659883143,1.116,74.12,46,NA,NA,2.124145243,NA,NA,97.75,NA,UM
1,49,NA,12.9,0.168163771,0.245833123,1.334,85.086,100,NA,NA,2.123998476,NA,NA,96.25,13.059624,H
1,54,NA,11,9.249348067,14.66446723,0.202,59.796,24,NA,NA,1.698761725,5.71432976,NA,90,NA,LM
1,9,NA,37.8,9.81E-05,0,0.828,42.75,33,NA,NA,1.846506725,6.680969718,NA,97,NA,LM
1,13,NA,11.4,0.087641902,1.560477436,1.524,69.543,57,NA,NA,1.515827613,6.502563669,NA,93.25,NA,UM
1,10,NA,13.4,1.900348912,1.719029348,0.305,14.553,NA,NA,NA,1.813431388,5.06069784,NA,43.75,NA,L
1,59,NA,6.3,0.07936608,2.226459759,1.159,81.946,98,NA,NA,1.229394539,6.389874558,NA,97,21.183569,H
1,56,NA,13,0.94909831,2.382401564,1.199,75.614,66,NA,NA,2.043350628,NA,NA,89.2,31.92558,H
1,68,NA,16.4,2.998322842,3.154341691,1.229,52.879,23,NA,NA,1.861723059,5.584331224,NA,84.25,NA,L
1,50,NA,15.1,0.276368508,2.704309061,1.367,74.758,80,NA,NA,2.371543904,7.233402278,NA,93.75,NA,H
1,88,NA,26.2,1.128476148,1.188885435,0.564,43.184,33,NA,NA,1.925718181,5.571708832,NA,84,NA,L
1,238,NA,17,1.179292608,0.935836592,0.8,72.597,49,NA,NA,1.921627883,7.100577303,NA,87.75,27.32153,H
1,210,NA,24,0.281129726,0.681445692,0.603,64.702,52,NA,NA,2.056918851,7.459437724,NA,99,NA,UM
1,34,NA,4.1,0.912288585,8.64156535,0.471,92.267,92,NA,NA,0.441992328,5.44870632,NA,97,21.740915,H
1,219,NA,28.8,2.322492897,2.583782974,0.468,27.453,29,NA,NA,2.544019444,6.394801777,NA,61.5,NA,L
1,236,NA,9.4,8.518803562,10.96708055,0.282,40.792,17,NA,NA,2.066220975,6.674677468,NA,80.25,NA,L
1,216,NA,30.8,0.263404102,0.122949706,1.658,63.318,NA,NA,NA,1.597532538,6.120902818,NA,99,NA,LM
1,215,NA,44.2,0.048808037,0.012692289,1.917,68.442,NA,NA,NA,1.736106149,4.477121255,NA,87.75,NA,LM
1,12,NA,9,0.388492015,5.028018578,1.077,58.91,77,NA,NA,1.736429005,6.806383502,NA,84.8,NA,H
1,218,NA,16.7,1.404457812,1.781900046,0.918,67.162,47,NA,NA,2.286726998,7.774670219,NA,87.33333333,NA,H
1,157,NA,8.9,3.008217226,4.540893093,0.948,78.523,60,NA,NA,2.540842504,6.647187298,NA,91,NA,H
1,221,NA,21.9,0.005337167,0.000147828,1.052,78.258,44,NA,NA,1.74900769,6.509336958,NA,84.33333333,NA,LM
1,102,NA,12.2,0.605080735,0.354272227,0.24,19.55,20,NA,NA,1.721397042,5.986323777,NA,81.75,NA,L
1,75,NA,16.1,2.29189971,3.215485025,1.032,79.384,38,NA,NA,2.684194055,6.668385917,NA,83.75,NA,UM
1,100,NA,42.2,0.011158112,0,2.064,98.862,NA,NA,NA,2.02265536,6.275080898,NA,94.5,NA,H
1,106,NA,21.6,3.239477756,5.66956876,0.721,20.991,NA,NA,NA,1.364310007,5.788168371,NA,63.25,NA,L
1,104,NA,17.8,0.105129707,2.073846326,1.562,68.22,34,NA,NA,1.584506614,6.240049772,NA,92.4,NA,LM
1,107,NA,22.4,0.38262182,0.037154225,1.1,85.885,NA,NA,NA,2.61851534,5.828015064,NA,83,NA,UM
1,108,NA,15.9,2.784431099,7.110391068,0.781,43.988,NA,NA,NA,1.461847723,NA,NA,64.75,NA,L
1,109,NA,31.7,0.000552591,0,1.248,76.284,NA,NA,NA,0.458579509,5.984527313,NA,94.25,NA,UM
1,110,NA,18,0.091821122,1.849639798,1.49,67.046,38,NA,NA,1.749936242,6.648750213,NA,75.8,NA,LM
1,113,NA,14.9,0.318919142,2.247510297,NA,83.448,88,NA,NA,NA,5.936010796,NA,95,27.057272,H
1,124,NA,23.5,1.154930796,0.876703228,0.586,58.757,33,NA,NA,1.899390112,5.257678575,NA,96.25,NA,LM
1,116,NA,8.4,1.490950349,1.384334814,0.44,26.853,NA,NA,NA,1.432173564,NA,NA,59.75,NA,L
1,121,NA,12.8,1.604154472,1.270225284,0.349,14.522,41,NA,NA,2.065943641,5.404833717,NA,82.75,NA,L
1,122,NA,8.7,6.719883942,8.997042566,0.483,60.742,51,NA,NA,1.8330384,6.89932795,NA,97.5,NA,UM
1,123,NA,41.8,0.144285256,0.069702437,0.375,27.646,NA,NA,NA,0.95167557,4.913813852,NA,55.5,NA,L
1,118,NA,12.8,0,0,1.268,92.085,NA,NA,NA,3.083209139,6.146748014,NA,86,NA,UM
1,128,NA,14.3,0.170414809,0.233815379,0.211,42.793,49,NA,NA,2.762640504,5.77815125,NA,84,NA,UM
1,142,NA,11.6,1.24132766,0.961157004,0.642,74.441,34,NA,NA,1.695098155,7.999430701,NA,96.25,NA,UM
1,138,NA,20.4,0.079420485,0.612761167,0.925,44.992,26,NA,NA,2.008518378,4.146128036,NA,96.75,NA,L
1,79,NA,21.7,4.065175703,4.758783559,NA,57.518,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,137,NA,27.2,5.864510111,9.209297987,0.926,26.843,NA,NA,NA,1.838341983,5.638489257,NA,84.75,NA,L
1,147,NA,21.9,9.273340694,4.214605224,0.64,12.857,NA,NA,NA,2.227458021,5.691965103,NA,78.75,NA,L
1,76,NA,14.3,0.129274886,2.608620656,1.574,76.03,90,NA,NA,2.670586785,6.994493123,NA,96.5,9.556894,H
1,209,NA,6.8,1.551068316,4.522582614,1.009,85.941,94,NA,NA,1.16330934,6.206015877,NA,86,NA,H
1,150,NA,52.3,1.227974431,2.996046217,0.766,34.304,16,NA,NA,2.118669342,6.153814864,NA,34.75,NA,L
1,152,NA,6.4,0.578631991,4.35126115,1.257,75.569,89,NA,NA,1.086938008,6.508260306,NA,91.75,NA,H
1,7,NA,48.8,0.006323008,0,0.578,71.589,NA,NA,NA,0.873439868,NA,NA,98.75,NA,UM
1,23,NA,37.3,0.671126614,0.216213946,0.823,32.783,22,NA,NA,2.288218955,5.635483747,NA,60.75,NA,L
1,135,NA,16.9,4.675631594,6.507737936,0.232,72.631,45,NA,NA,1.31195638,NA,NA,82.6,NA,LM
1,233,NA,16.1,7.541946503,7.441412242,0.561,46.22,36,NA,NA,2.407770572,6.336659823,NA,82.75,NA,LM
1,38,NA,23.4,0.107498851,1.650411882,1.203,61.672,42,NA,NA,2.101132076,7.949965431,NA,97.25,23.045018,UM
1,156,NA,9.5,0.803463657,0.429666376,0.634,53.743,67,NA,NA,2.047937494,7.065654394,NA,92.2,NA,H
1,94,NA,83.4,0,0,1.735,96.105,NA,NA,NA,1.722842161,NA,NA,92.4,NA,H
1,115,NA,20.4,0.559070877,1.458555449,0.62,53.158,33,NA,NA,1.990670616,6.718003168,NA,98,NA,LM
1,240,NA,7.7,0.387443249,1.603540029,0.413,73.354,24,NA,NA,0.953411932,7.274619619,NA,96.25,NA,LM
1,167,NA,48.5,0.016798209,0.002337383,1.489,79.616,NA,NA,NA,0.990043188,NA,NA,92.5,NA,UM
1,162,NA,22.9,0.550981419,0.857311453,NA,52.545,NA,NA,NA,NA,NA,NA,87.5,NA,NA
1,207,NA,14.1,1.281154186,4.404457171,0.353,100,91,NA,NA,3.771480312,6.842484424,NA,97.5,NA,H
1,177,NA,24,0.551003471,1.147735499,0.768,56.294,37,NA,NA,2.049928474,NA,NA,88,23.75351,UM
1,178,NA,18.8,1.782117796,4.185953193,0.867,50.728,60,NA,NA,1.993273103,5.946452265,NA,94.75,18.279704,H
1,144,NA,16.3,0.24585537,0.075723998,1.096,56.411,50,NA,NA,1.582294253,6.780029127,NA,78,NA,UM
1,205,NA,9.7,0.455690669,0.441376609,0.814,76.181,66,NA,NA,1.907756928,7.857573704,NA,91.75,NA,H
1,176,NA,16.5,1.983124488,2.595507134,0.355,18.396,NA,NA,NA,2.473817078,5.667452953,NA,97.5,NA,LM
1,234,NA,37.4,0.106249878,0.016724169,NA,32.442,NA,NA,NA,1.032972688,4.591064607,NA,59,NA,L
1,158,NA,6.2,0.161496066,3.157260582,1.362,83.998,94,NA,NA,1.337372759,6.414137362,NA,80.2,16.676031,H
1,159,NA,15.5,3.733910182,6.783128287,0.98,73.438,89,NA,NA,2.257071218,6.854548936,NA,90.25,NA,H
1,185,NA,19.3,2.405039499,3.882377409,0.504,30.969,32,NA,NA,2.087153931,6.937066312,NA,97,NA,LM
1,190,NA,23.7,0.031087823,0.009130402,1.747,63.043,50,NA,NA,1.799357721,6.684126926,NA,95.5,NA,LM
1,239,NA,22.5,0.805816717,0.803547596,1.231,64.223,36,NA,NA,1.914336229,6.874307833,NA,83.25,NA,LM
1,241,NA,19.2,0.117613697,1.108233549,1.169,67.106,26,NA,NA,1.933188122,7.040997692,NA,98.75,NA,L
1,5,NA,54.2,0.001229544,0,1.293,79.81,NA,NA,NA,1.63963948,NA,NA,95.2,NA,H
1,220,NA,10.4,0.322602642,4.154808772,1.133,78.591,86,NA,NA,2.38481863,7.404731115,NA,91,NA,H
1,130,-4.685403614,7.9,0.535442581,1.639142827,0.758,78.742,75,NA,NA,1.483820301,7.879646287,NA,93,NA,H
1,200,NA,10.9,4.27273178,7.034635126,0.339,87.262,26,NA,NA,1.434119747,5.846337112,NA,86,NA,UM
1,222,NA,18,3.498609035,5.842234562,0.74,23.817,26,NA,NA,2.380245226,6.2509077,NA,93.75,NA,L
1,223,NA,14.6,1.08862441,1.210078174,0.064,35.258,35,NA,NA,1.112014243,5.606381365,NA,87,NA,L
1,92,NA,14.3,0.602182756,0.230540046,0.03,33.347,41,NA,NA,1.481253591,6.352182518,NA,81.25,NA,L
1,3,NA,27.1,0.655977224,0.191861823,1.198,21.986,NA,NA,NA,1.470319704,NA,NA,30.75,NA,L
1,1,NA,18.6,3.388449728,3.104494491,0.67,41.169,23,NA,NA,2.054839147,5.56937391,NA,93,NA,LM
1,2,NA,29.6,0.014550567,0.002412783,1.476,59.118,NA,NA,NA,1.105208291,5.874481818,NA,86.5,NA,LM
1,131,NA,3.1,NA,NA,0.242,88.131,NA,NA,NA,2.459347246,4.612783857,NA,NA,NA,UM
1,15,NA,17.5,0.791278168,2.271664357,0.417,48.897,NA,NA,NA,1.104835573,4.653212514,NA,35.5,NA,L
1,16,NA,10.1,NA,NA,0.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,17,NA,9.5,0,0,0.541,32.49,NA,NA,NA,2.224727247,5.748188027,NA,99,NA,UM
1,213,NA,21.4,1.697155382,1.213168576,1.488,64.947,25,NA,NA,2.051580115,4.612783857,NA,93.25,NA,L
1,8,NA,25.3,0.662862266,0.469820531,1.224,51.185,17,NA,NA,1.984620762,5.779596491,NA,75.25,NA,L
1,22,NA,8.5,0.018563042,0,0.619,81.824,NA,NA,NA,1.505084894,6.56205483,NA,82,NA,H
1,20,NA,11.7,0,0,0.466,34.152,NA,NA,NA,2.788415041,5.976349979,NA,86.33333333,NA,UM
1,41,NA,15,1.393120074,2.113284586,0.422,45.582,NA,NA,NA,1.008732682,5.531478917,NA,87.25,NA,LM
1,32,NA,36.4,2.123064601,1.829387103,0.621,38.015,NA,NA,NA,1.779624449,5.973589623,NA,76,NA,L
1,29,NA,5.8,NA,NA,NA,100,NA,NA,NA,3.054960431,5.739572344,NA,NA,NA,H
1,35,NA,29.4,1.598272213,2.379360022,0.337,61.264,25,NA,NA,0.89154492,5.534026106,NA,82.5,NA,LM
1,40,NA,23.1,0.029369834,0.001113221,0.552,52.372,61,NA,NA,0.474910691,6.016615548,NA,95.75,NA,UM
1,199,NA,8.4,NA,NA,0.525,41.5,NA,NA,NA,2.115854491,5.45331834,NA,NA,NA,NA
1,44,NA,20.6,4.050732952,4.513757853,NA,8.036,NA,NA,NA,2.381406105,4.414973348,NA,75.75,NA,L
1,60,NA,28.1,0.015215608,0,0.794,52.505,NA,NA,NA,2.047547336,4.826074803,NA,89.5,NA,LM
1,93,NA,39.3,3.268002262,6.712612278,0.604,44.944,15,NA,NA,1.492692202,NA,NA,60.25,NA,L
1,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,95,NA,10.1,NA,NA,0.792,100,NA,NA,NA,2.202930832,6.155639634,NA,NA,NA,H
1,228,NA,31.5,1.081141532,3.32146552,0.502,37.557,NA,NA,NA,0.768456051,4,NA,42,NA,L
1,224,NA,46.7,0.289485034,0.141435248,0.569,21.604,NA,NA,NA,0.802010969,4.662757832,NA,38.5,NA,L
1,64,NA,11.8,8.25346249,15.24636874,-0.01,73.53,29,NA,NA,1.541291569,5.860338007,NA,74.8,NA,LM
1,98,NA,9.2,1.485043333,0.112904002,0.235,28.124,NA,NA,NA,2.451604982,4.380211242,NA,75.5,NA,L
1,62,NA,25.9,1.399460565,4.160992375,0.61,58.231,NA,NA,NA,0.946135513,NA,NA,30,NA,L
1,103,NA,3.4,NA,NA,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,65,NA,12.4,11.82066514,14.24963951,-0.174,58.157,51,NA,NA,1.883143009,6.102776615,NA,83.4,NA,LM
1,99,NA,20.2,1.26095104,2.604306799,0.526,42.741,26,NA,NA,1.710981558,NA,NA,61.75,NA,L
1,69,NA,10.7,0.624340691,0.1336725,0.806,75.089,NA,NA,NA,2.013147027,6.204933522,NA,97,NA,LM
1,47,NA,18.1,1.60184415,1.925391667,1.382,59.334,NA,NA,NA,2.284909621,NA,NA,68.25,NA,L
1,63,NA,25.8,1.725806303,4.107053744,0.455,34.659,NA,NA,NA,1.318731449,4.903089987,NA,22.75,NA,L
1,82,NA,29.1,0.0892649,0,0.409,76.485,NA,NA,NA,1.491839494,4.322219295,NA,24,NA,LM
1,53,NA,12.5,0,0,0.486,65.179,NA,NA,NA,1.96188283,5.447158031,NA,99,NA,UM
1,52,NA,10.9,1.518826392,0.762789601,0.9,60.933,NA,NA,NA,2.240829906,6.467163966,NA,84,NA,LM
1,160,NA,22.8,3.859692541,3.96765481,0.301,58.357,39,NA,NA,2.456214449,NA,NA,94.75,NA,LM
1,55,NA,29.5,0.309188486,0.082717159,0.822,25.735,NA,NA,NA,1.367941831,4.755874856,NA,93,NA,L
1,180,NA,20.4,0.684824081,0.467182346,0.505,22.817,NA,NA,NA,1.77237715,6.097951071,NA,87,NA,LM
1,231,NA,5.7,4.284715189,7.226857028,0.538,47.515,NA,NA,NA,1.653883919,5.7355989,NA,90.4,NA,LM
1,58,NA,9.6,NA,NA,0.663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,39,NA,3.8,NA,NA,0.456,56.126,NA,NA,NA,1.828901022,5.372912003,NA,NA,NA,H
1,89,NA,19.6,3.411637286,8.959013437,0.589,78.102,NA,NA,NA,0.682625327,5.418301291,NA,58.25,NA,UM
1,61,NA,43.1,0.893866246,0.482044035,0.75,46.961,NA,NA,NA,2.139860117,4.982271233,NA,87.8,NA,L
1,66,NA,11.7,0,0,0.617,35.45,NA,NA,NA,2.497185853,5.57863921,NA,89.66666667,NA,UM
1,70,NA,11.8,NA,NA,0.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,71,NA,2.8,NA,NA,NA,92.946,NA,NA,NA,2.467347708,6.065206128,NA,NA,NA,H
1,197,NA,18.6,4.659402053,3.938451751,0.558,44.995,32,NA,NA,2.023471292,5.915399835,NA,82,NA,LM
1,84,NA,33.1,3.15161876,5.195889606,0.512,30.595,NA,NA,NA,1.522041783,4.431363764,NA,52,NA,L
1,85,NA,35.5,2.432248003,3.29291153,0.746,35.865,NA,NA,NA,1.632502651,NA,NA,59.25,NA,L
1,72,NA,9.8,1.968081621,5.647697007,0.405,28.782,NA,NA,NA,0.585541808,4.875061263,NA,86,NA,LM
1,74,NA,12.7,1.406546401,0.101385699,1.147,34.992,NA,NA,NA,2.474007921,5.586587305,NA,53,NA,L
1,80,NA,17.5,3.789549959,2.560661459,0.384,44.952,18,NA,NA,1.762607096,5.631443769,NA,95.25,NA,LM
1,217,NA,19.7,0.078327303,0.012115508,0.894,91.139,68,NA,NA,2.451848837,6.409256652,NA,92.5,NA,H
1,212,NA,15.4,1.588915216,0.337270677,0.753,51.574,38,NA,NA,2.379721566,6.303843775,NA,87.5,NA,LM
1,73,NA,16.3,0.208461067,0.091871954,1.377,56.025,23,NA,NA,0.742697,5.595496222,NA,98.75,NA,LM
1,81,NA,4.1,0,0,-0.142,41.54,NA,NA,NA,2.032474499,4.307496022,NA,71.5,NA,LM
1,83,NA,15,3.511460656,1.8903944,1.112,35.3,22,NA,NA,1.402032649,5.217483944,NA,99,NA,L
1,105,NA,22.4,1.341948993,0.239473925,1.243,19.038,NA,NA,NA,1.817476309,5.488550717,NA,85.75,NA,L
1,119,NA,14.2,0,0,0.297,27.134,NA,NA,NA,2.967096912,5.633468456,NA,97.5,NA,LM
1,125,NA,3.5,0,0,-0.273,68.053,NA,NA,NA,2.475784145,3.662757823,NA,81.5,NA,LM
1,126,NA,14.8,NA,NA,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,129,NA,51.9,0.007210052,9.97E-06,0.539,38.214,NA,NA,NA,0.405270284,4.380211242,NA,62.75,NA,L
1,136,NA,3.9,0,0,-0.093,22.749,NA,NA,NA,2.202328707,4.206825886,NA,62,NA,LM
1,132,NA,13.9,0.135247554,0.14536158,1.764,56.623,43,NA,NA,0.195722496,5.204119983,NA,94.5,NA,L
1,139,NA,18.8,0.07890773,0.016206784,0.976,53.007,41,NA,NA,1.800267819,6.611510887,NA,91.25,NA,LM
