year,year_5,3GCREC,3GCRKP,CRAB,CREC,CRKP,CRPA,IncomeGroup,source
1999,"(1998,2004]",0.02,0.08,0.06,0,0,0.15,H,"The Surveillance Network, USA"
2000,"(1998,2004]",0,NA,NA,NA,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2000,"(1998,2004]",0.03601108,NA,NA,0.010638298,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2000,"(1998,2004]",0.001023541,NA,NA,0.002890173,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2000,"(1998,2004]",0.003267974,NA,NA,0.001618123,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2000,"(1998,2004]",0.02,0.09,0.09,0,0,0.13,H,"The Surveillance Network, USA"
2000,"(1998,2004]",0.23,0.64,0.54,0.15,0.01,0.35,UM,"Programa Venezolano de Vigilancia de la Resistencia a los Antimicrobianos (PROVENRA), Venezuela"
2001,"(1998,2004]",0,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2001,"(1998,2004]",0.018018018,NA,NA,NA,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2001,"(1998,2004]",0.066666667,NA,NA,0,NA,NA,LM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2001,"(1998,2004]",0.016483516,NA,NA,0,NA,NA,UM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2001,"(1998,2004]",0.023136247,NA,NA,0,NA,NA,UM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2001,"(1998,2004]",0.058823529,NA,NA,0,NA,NA,UM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2001,"(1998,2004]",0.001657001,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2001,"(1998,2004]",0.007154213,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2001,"(1998,2004]",0.054481547,NA,NA,0.010152284,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2001,"(1998,2004]",0.003816794,NA,NA,0,NA,NA,UM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2001,"(1998,2004]",0,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2001,"(1998,2004]",0.005347594,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2001,"(1998,2004]",0,NA,NA,0,NA,NA,UM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2001,"(1998,2004]",0.005532503,NA,NA,0.001071811,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2001,"(1998,2004]",0.003112033,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2001,"(1998,2004]",0.070707071,NA,NA,NA,NA,NA,UM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2001,"(1998,2004]",0.028708134,NA,NA,NA,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2001,"(1998,2004]",0.066666667,NA,NA,NA,NA,NA,UM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2001,"(1998,2004]",0.002512563,NA,NA,NA,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2001,"(1998,2004]",0.006189821,NA,NA,0.000948767,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2001,"(1998,2004]",0.003425961,NA,NA,NA,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2001,"(1998,2004]",0.012131716,NA,NA,NA,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2001,"(1998,2004]",0.02,0.12,0.14,0,0,0.16,H,"The Surveillance Network, USA"
2001,"(1998,2004]",0.22,0.68,0.42,0,0.22,0.2,UM,"Programa Venezolano de Vigilancia de la Resistencia a los Antimicrobianos (PROVENRA), Venezuela"
2002,"(1998,2004]",0.012578616,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0.027942422,NA,NA,NA,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0.133333333,NA,NA,0,NA,NA,LM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0.028571429,NA,NA,0,NA,NA,UM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0.011987382,NA,NA,NA,NA,NA,UM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0.015384615,NA,NA,0,NA,NA,UM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0.006299213,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0.00761523,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0.009398496,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0.063683305,NA,NA,0.003597122,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0.02,NA,NA,0,NA,NA,UM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0.021857923,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0.029315961,NA,NA,NA,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0.005208333,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0.027027027,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0.01003009,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0,NA,NA,0,NA,NA,H,"Public Health Surveillance, Institute of Environmental Science and Research Ltd (ESR), New Zealand"
2002,"(1998,2004]",0.001788909,NA,NA,0.001328021,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0.061538462,NA,NA,NA,NA,NA,UM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0.056561086,NA,NA,NA,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0.018691589,NA,NA,0.006756757,NA,NA,UM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0.012224939,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0.015757576,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0.003265839,NA,NA,NA,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0.020551967,NA,NA,NA,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2002,"(1998,2004]",0.03,0.11,0.2,0,0,0.18,H,"The Surveillance Network, USA"
2002,"(1998,2004]",0.19,0.62,0.14,0,0.01,0.18,UM,"Programa Venezolano de Vigilancia de la Resistencia a los Antimicrobianos (PROVENRA), Venezuela"
2003,"(1998,2004]",0.018423746,NA,NA,0.001508296,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0.034954407,NA,NA,NA,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0.183544304,NA,NA,0,NA,NA,LM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0.043859649,NA,NA,0,NA,NA,UM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0.011370097,NA,NA,NA,NA,NA,UM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0.010309278,NA,NA,0,NA,NA,UM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0.010301692,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0.009708738,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0.006060606,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0.056022409,NA,NA,0.003809524,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0.009512485,NA,NA,0,NA,NA,UM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0.01010101,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0.021806854,NA,NA,0.001342282,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0.061755146,NA,NA,NA,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0.008810573,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0,NA,NA,NA,NA,NA,L,"Malawi Liverpool Wellcome Trust Clinical Research Programme, University of Malawi the College of Medicine"
2003,"(1998,2004]",0.021978022,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0.014594595,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0,NA,NA,0,NA,NA,H,"Public Health Surveillance, Institute of Environmental Science and Research Ltd (ESR), New Zealand"
2003,"(1998,2004]",0.002548853,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0.040650407,NA,NA,NA,NA,NA,UM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0.071246819,NA,NA,NA,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0.1875,NA,NA,0,NA,NA,LM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0.0041841,NA,NA,0,NA,NA,UM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0.007481297,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0.042264151,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0.004241139,NA,NA,NA,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0.032705649,NA,NA,NA,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2003,"(1998,2004]",0.03,0.11,0.18,0,0,0.19,H,"The Surveillance Network, USA"
2003,"(1998,2004]",0.19,0.71,0.42,0.01,0.04,0.22,UM,"Programa Venezolano de Vigilancia de la Resistencia a los Antimicrobianos (PROVENRA), Venezuela"
2004,"(1998,2004]",0.025323276,NA,NA,0.002380952,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2004,"(1998,2004]",0.026465028,NA,NA,NA,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2004,"(1998,2004]",0.215568862,NA,NA,0,NA,NA,LM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2004,"(1998,2004]",0.026168224,NA,NA,0,NA,NA,UM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2004,"(1998,2004]",0.086956522,NA,NA,0,NA,NA,H,European Antimicrobial Resistance Surveillance Network (EARS-Net)
2004,"(1998,2004]",0.016793893,NA,NA,NA,NA,NA,UM,European Antimicrobial Resistance Surveillance Network (EARS-Net)
